,20.20-21.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.20-21.50,,,
среда,08.30-10.00,,,,,Дискретная математика Зубков М.В.1303,"Иностранный язык (английский язык) 
   ,    Газетдинов Р.Р.1304,   Сигачева Н.А.1412,        Саляхова Г.И. 1301,   Шамсутдинова Э.Х.1302, Мартынова Е.В.1404",,,,"Вычислительные системы ,сети и телекоммуникации  Максютин С.В. в 108 к. 2",,,,,,,,,,,,Операционные системы Абдуллин Р.М.1305,,,,,,,,,,,,,,,,,,08.30-10.00,,,
,10.10-11.40,"Программирование
Абрамский 1305
Зиятдинов 1404",,,,Математический анализ Скворцова Л.Ш. ауд.109 к2,,,,,ВССиТ Чикрин 1307,,1412,,Программирование Егорчев  1408,,,,,,,,,,,,,,,,,,,,,,,,,,10.10-11.40,,,
,10.10-11.40,Математический анализ  Широкова Елена Александровна в ауд.109 к.2,,,,,,,,,Информатика Абрамский М.М.1409,"Вычислительные системы, сети и телекоммуникации Максютин С.В.1404",Информатика Ференец А.А.1302 ( 13.09 перенос на 19.09 в 15.20 в 1311),Теория вероятностей и математическая статистика Стребков Е.В.1303,Теория вероятностей и математическая статистика Каштанова Е.К.1304(6.09 переносится на 16.09 в 11.50. ауд.1304),Базы данных Хайруллин А.Ф.1307,,Информатика Марченко А.А.1309,Экономика Гадылшина Л.А. (с 1-9н.) 1301,"Операционные системы Елкин И.В.1306  (д.з.-25.09-2пары, 4.10-2пары в 10.10.и в 11.50 в ауд.1508)",,,Программная инженерия Кугуракова В.В. 1408,,Операционные системы Абдуллин Р.М.1305,,Курс по выбору: Русский язык и культура речи Бастриков А.В. гр -1 в 1509,,,,,,,,,,,,,,10.10-11.40,,,
,11.50-13.20,История Ибрагимов Руслан Рустамович ( 9 н.) в ауд.108 к.2,,,,,,,,,Теория вероятностей и математическая статистика Салимов Р.Ф.1301,Базы данных Салимов Ф.И.1409,Теория вероятностей и математическая статистика Каштанова Е.К.1304,Информатика Ференец А.А.1302 ( 13.09 перенос на 19.09 в 15.20 в 1311),"Вычислительные системы, сети и телекоммуникации Максютин С.В.1404",,Информатика Марченко А.А.1309,Теория вероятностей и математическая статистика Стребков Е.В.1303, Элективные курсы по физической культуре и спорту УНИКС 12.00-13.30,,,,,,,,"Курс по выбору: Русский язык и культура речи Бастриков А.В. гр -2 1509, Социалогия Гузельбаева Г.Я.1306. Культурология Имамутдинова А.М. в 1405 гр.1",,,,,,,,,,,,,,11.50-13.20,,,
,13.40-15.10,,,Информатика Байрашева В.Р.1303 ,Информатика Ференец А.А.1408,,Алгебра и геометрия Зубкова С.К.1305 ,,Дискретная математика Ильин С.Н.1301,Математический анализ Кац Д.Б. 1302,,,,,Информатика Евлампиев И.А.1304,Информатика Хайруллин А.Ф.1307,Информатика Марченко А.А.1309,,Безопасность  жизнедеятельности  Мустаев Рим  Шагалиевич в 108 к.2 (9н.),,,,,,,,"Курс по выбору: Русский язык и культура речи Бастриков А.В. гр -3,1509 . Культурология Имамутдинова А.М. 1405 гр 2 ",,,,,,,,,,,,,,13.40-15.10,,,
,15.20-16.50,,,Информатика Байрашева В.Р.1303 ,,,,,Математический анализ Кац Д.Б. 1302,История Ибрагимов Р.Р. н.н.1301, Элективные курсы по физической культуре и спорту УНИКС 16.00-17.30,,,,,,,,,Управление качеством разработки информационных систем  Басырова А.Р.1307,,,,Программная инженерия Кугуракова В.В. 1408,,,"Курс по выбору: Распределенные вычисления и приложения Храмченков Э.М.   1304, Машинное обучение Сагитов А.Г. 1404, Теория звука и его обработка Хусаенов И. 1405 , Разработка технической документации Лукьяничева Е.О.1412",,,,,,,,,,,,,,15.20-16.50,,,
,17.00-18.30,,,,,,,,,,,,Базы данных Вагапов 1305,,,,Проектный практикум (Ios),,,,,,,,,,,,,,,,,,,,,,,,17.00-18.30,,,
,,,,,,,,,,,,,,,,,,"Вычислительные системы, сети и телекоммуникации Бубнов Д.В.(17.30) 1306",,,,,,Управление качеством разработки информационных систем  Басырова А.Р.1307,,,"Курс по выбору: Распределенные вычисления и приложения Храмченков Э.М.1304 , Машинное обучение Сагитов А.Г. 1404, Теория звука и его обработка Хусаенов И.1405 , Разработка технической документации Лукьяничева Е.О.1412, Защита информации в компьютерных системах и сетях Дорофеев В.И.1308. Введение в облачные технологии Степанов М.Н.1408 ",,,,,,,,Теория систем и системный анализ Фазылов В.Р. в 1310 к.2 (9н.) ( со 2 по 10 н.),,,,Научно-исследовательская работа Голицына И.Н.  (15ч.) 1303 (с11.10.17г.),Модели жизненного цикла для разработки программных систем Шамсутдинов Т.Ф.1305,,,,
,18.40-20.10,,,,,,,,,,,,,,,,,,,,,,,Операционные системы Бубнов Д.А.1306,,,", Защита информации в компьютерных системах и сетях  Дорофеев В.И.1308 . Введение в облачные технологии Степанов М.Н.1408 ",,,,,,,,,,,Робототехническая операционная система Лавренов Р.О.(9н.)  ( со 2-нед.) 1404,Модели жизненного цикла для разработки программных систем Шамсутдинов Т.Ф.1305,Научно-исследовательская работа Голицына И.Н.  (15ч.) 1303 ( с 11.10.17г.),18.40-20.10,,,
,18.40-20.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20.20-21.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
четверг,08.30-10.00,Математический анализ Муллагалиев Э.А.1306,Алгебра и геометрия Шурыгин В.В.1509,,,,"Иностранный язык (английский язык) 
   ,    Газетдинов Р.Р.1304,   Сигачева Н.А.1412,        Саляхова Г.И. 1301,   Шамсутдинова Э.Х.1405, Мартынова Е.В.1404",,,,Информатика в ауд 108 к.2  Абрамский Михаил Михайлович (9н.),,,,,Информатика в ауд. 1310 к.2 Марченко Антон Александрович(9н) ( 6.10- занятия будут в 104 к.2 (раз),,,Курс по выбору : Физика Мутыгуллина А.А.( лекция) 112 физ.фак.,,,,,,,,,,,,,,,,,,,,,,08.30-10.00,четверг,,
,10.10-11.40,Алгебра и геометрия Шурыгин В.В.1509,Математический анализ Муллагалиев Э.А.1306,Алгебра и геометрия Зубкова С.К. в1305,История Ибрагимов Р.Р. ч.н.1301,Информатика Ференец А.А.1303 ( с26.09 перенос на втр 15.20 в 1309),Информатика Марченко А.А.1309,Информатика Хайруллин А.Ф.1308,История Ибрагимов Р.Р. н.н.1301,Дискретная математика Ильин С.Н.1304,Базы данных Шамсутдинова К.С.1404,Информатика Хасьянов А.Ф.1405,,Базы данных Салимов Р.Ф.1307,,,,,Курс по выбору : Физика Мутыгуллина А.А.( решение задач) физ.фак.в 403,,,,,,,,,,,,,,,,,,,,,,10.10-11.40,,,
